# recomp/names_proposals_hand_r0004_2026-09-25.csv -- Sprint 13 Task N2: Pass=hand, r0004-native: the 14 runtime names N1's `--through` carry left out.
# Rule: N1's hand rows (recomp/names_proposals_hand_2026-09-25.csv) travelled to r0004 only where address_matcher placed them `exact`; these 14 it did not (relinked-body, bracketed, identity of a byte-identical pair). The runtime's own r0004 column places each one: its address here is the kR0004 row of socom2_addresses.h, whose comment names the r0001 twin and how the column established it -- the runtime binds its hooks at these addresses on an r0004 disc, which is stronger evidence than a matcher placement.
# Evidence is file:line under third_party/ps2recomp/ps2xRuntime/; a hand row carries evidence and no Score (tools_py/apply_names.py HAND_PASS). Nothing already named in the r0004 sidecar is proposed (D2).
# Apply (no --through: the addresses are already r0004's): python -m tools_py.apply_names recomp/socom2_ghidra_r0004.csv recomp/socom2_names_r0004.csv <this>
Address,Current,Proposed,Mangled,Pass,Evidence
0x00248350,FUN_00248350,netbExStartAsync,netbExStartAsync,hand,"include/runtime/socom2_addresses.h:257 the kR0004 row netbExStartAsync (r0001 0x00248350, identity (bytes unchanged at the same address)); include/runtime/socom2_addresses.h:121 the field (two entry points share one host implementation); bound at src/lib/game_overrides_socom2.cpp:2267 socom2_libnetb::exStartAsync; the r0001 hand row 0x00248350 in recomp/names_proposals_hand_2026-09-25.csv"
0x002483f8,FUN_002483f8,netbExStartAsync2,netbExStartAsync2,hand,"include/runtime/socom2_addresses.h:258 the kR0004 row netbExStartAsync2 (r0001 0x002483f8, identity (bytes unchanged at the same address)); include/runtime/socom2_addresses.h:122 the field; bound at src/lib/game_overrides_socom2.cpp:2268 socom2_libnetb::exStartAsync; the r0001 hand row 0x002483f8 in recomp/names_proposals_hand_2026-09-25.csv"
0x00292d10,FUN_00292d10,camCfg,camCfg,hand,"include/runtime/socom2_addresses.h:224 the kR0004 row camCfg (r0001 0x002918b0, relinked-body); include/runtime/socom2_addresses.h:92 the field (the camera config record apply); bound at src/lib/game_overrides_socom2.cpp:2159 socom2_CamCfgTrace; the r0001 hand row 0x002918b0 in recomp/names_proposals_hand_2026-09-25.csv"
0x00312100,FUN_00312100,chatFanoutRecv,chatFanoutRecv,hand,"include/runtime/socom2_addresses.h:234 the kR0004 row chatFanoutRecv (r0001 0x002f4ef0, relinked-body+string (""%s: %s"")); include/runtime/socom2_addresses.h:102 the field (the chat receive fan-out (milestone S)); bound at include/runtime/socom2_chat.h:11 kFanoutRecvAddr; src/lib/game_overrides_socom2.cpp:1739 socom2_ChatFanoutBound; the r0001 hand row 0x002f4ef0 in recomp/names_proposals_hand_2026-09-25.csv"
0x00312230,FUN_00312230,chatListRender,chatListRender,hand,"include/runtime/socom2_addresses.h:235 the kR0004 row chatListRender (r0001 0x002f5020, relinked-body+string (""%s %s: %s"")); include/runtime/socom2_addresses.h:103 the field (the second reader of the same records (milestone S, Task 2b)); bound at src/lib/game_overrides_socom2.cpp:1750 socom2_ChatListBound; the r0001 hand row 0x002f5020 in recomp/names_proposals_hand_2026-09-25.csv"
0x00354250,FUN_00354250,flush,flush,hand,"include/runtime/socom2_addresses.h:226 the kR0004 row flush (r0001 0x00336cb0, relinked-body); include/runtime/socom2_addresses.h:94 the field (the deferred draw flush); bound at src/lib/game_overrides_socom2.cpp:2169 socom2_FlushTrace; the r0001 hand row 0x00336cb0 in recomp/names_proposals_hand_2026-09-25.csv"
0x00354750,FUN_00354750,defer,defer,hand,"include/runtime/socom2_addresses.h:225 the kR0004 row defer (r0001 0x003371b0, bracketed (body changed: two instructions fewer)); include/runtime/socom2_addresses.h:93 the field (the deferred draw enqueue); bound at src/lib/game_overrides_socom2.cpp:2164 socom2_DeferTrace; the r0001 hand row 0x003371b0 in recomp/names_proposals_hand_2026-09-25.csv"
0x00355a10,FUN_00355a10,node,node,hand,"include/runtime/socom2_addresses.h:220 the kR0004 row node (r0001 0x00338480, relinked-body); include/runtime/socom2_addresses.h:88 the field (scene node walk 1); bound at src/lib/game_overrides_socom2.cpp:2139 socom2_NodeTrace; the r0001 hand row 0x00338480 in recomp/names_proposals_hand_2026-09-25.csv"
0x00355f50,FUN_00355f50,node2,node2,hand,"include/runtime/socom2_addresses.h:221 the kR0004 row node2 (r0001 0x003389c0, relinked-body); include/runtime/socom2_addresses.h:89 the field (scene node walk 2); bound at src/lib/game_overrides_socom2.cpp:2144 socom2_NodeTrace2; the r0001 hand row 0x003389c0 in recomp/names_proposals_hand_2026-09-25.csv"
0x00368660,FUN_00368660,musicManager,musicManager,hand,"include/runtime/socom2_addresses.h:227 the kR0004 row musicManager (r0001 0x0034afd0, relinked-body); include/runtime/socom2_addresses.h:95 the field (the per-frame music manager (PS2X_SOCOM2_MUSIC_TRACE)); bound at src/lib/game_overrides_socom2.cpp:1449 socom2_MusicManagerTrace; the r0001 hand row 0x0034afd0 in recomp/names_proposals_hand_2026-09-25.csv"
